jalon,km_boundary,km_cross,delta_km,dist_m,acces,road_type,road_name,way_id,lat_cross,lon_cross
17,42.5,41.61407377968928,-0.8859262203107221,783.9006701000241,cross,residential,Impasse le Pont Vieux,278616879,45.92301698217006,5.223871108550322
17,42.5,41.735632269687166,-0.7643677303128342,676.1471085675707,cross,unclassified,Rue de la Croze,189730784,45.92407874627054,5.224232994459084
17,42.5,42.11234441910052,-0.3876555808994766,326.2951854325142,cross,residential,Impasse des Rameaux,189730781,45.927005528639775,5.226585935196997
17,42.5,42.182033568651676,-0.31796643134832436,260.4093894606021,cross,unclassified,Chemin du Pont Vieux,189730782,45.92747230242699,5.227187203126296
17,42.5,42.18457970016073,-0.31542029983926767,258.0400664447693,cross,unclassified,,278616897,45.92748935626471,5.227209170781663
17,42.5,42.35470487439729,-0.14529512560270774,135.56852437126787,cross,residential,Rue des Terreaux,189725236,45.92749965530039,5.229249385535476
17,42.5,42.43419420378878,-0.0658057962112224,65.28204981609939,cross,residential,Rue de la Côte du Fourg,133295364,45.927948430247405,5.2300493756584245
17,42.5,42.49576228759842,-0.004237712401582883,4.237712525115811,cross,tertiary,Rue Royale,226667138,45.928489230133174,5.230185235593514
17,42.5,42.66110732286576,0.16110732286576024,160.89653389385782,cross,residential,Rue de la Pie,189730163,45.92996723082316,5.230392772490482
17,42.5,42.73818448774498,0.2381844877449808,237.91326469587668,cross,residential,Impasse du Vernay,278616874,45.93065961052631,5.230440396491228
17,42.5,42.77193326108227,0.27193326108226756,271.64636664289765,cross,residential,Impasse de la Croisette,278616873,45.93096277380044,5.230461248991565
17,42.5,42.785775006726574,0.2857750067265741,285.48275571475415,cross,residential,Rue de la Charrière,133295343,45.931087113399016,5.2304698014507265
17,42.5,42.82989788086018,0.32989788086018024,309.50050535903307,cross,residential,Rue de Bellevue,133295390,45.931259034966125,5.2309580699322495
17,42.5,42.884467006841966,0.384467006841966,349.7425627785892,cross,residential,Rue de la Jonction,189730160,45.93153016762916,5.2315371136777635
17,42.5,42.99831461847217,0.49831461847217184,450.1757571439174,cross,residential,Chemin de la Fontaine,189730155,45.932207067485585,5.232619372167672
17,42.5,43.22089817898255,0.7208981789825515,648.7659515569682,cross,tertiary,Rue de Montaplan,189730159,45.93400475144391,5.233081381198971
18,45.0,44.33069370654282,-0.6693062934571827,625.018748807983,cross,tertiary,D 108,189818485,45.94146901695357,5.2411510306961855
18,45.0,44.51106272659307,-0.4889372734069326,472.961417214495,cross,tertiary,D 108,663163161,45.942319524940615,5.242966954869349
18,45.0,44.512917275067025,-0.487082724932975,471.37382184883984,cross,secondary,D 984,663163164,45.942328650359,5.242987030789807
18,45.0,44.55018919303773,-0.4498108069622688,444.3340976938921,cross,residential,Rue du Gardon,189818491,45.94254198108864,5.243156094072019
18,45.0,44.609962472489244,-0.3900375275107564,384.88917051308016,cross,residential,Lotissement les Sablons,454846651,45.94304755956284,5.243418732240437
18,45.0,44.80021926178026,-0.19978073821973652,194.96456015595746,cross,service,,539875450,45.9446117098871,5.24441611765772
18,45.0,44.84921966599068,-0.150780334009319,150.6213551035001,cross,residential,,1290671024,45.944991510480214,5.244616578722953
18,45.0,44.8690912797779,-0.1309087202221022,130.75998006728545,cross,residential,Rue des Brotteaux,663163178,45.94514152720548,5.244756249467169
18,45.0,44.96377724522785,-0.036222754772147425,36.22278266999359,cross,secondary,Grande Rue,663163181,45.9458603092173,5.245411894898484
18,45.0,45.074968041766255,0.0749680417662546,74.5243134590736,cross,secondary,Grande Rue,663163182,45.94676208927038,5.246018849785406
18,45.0,45.181298282286825,0.18129828228682499,175.08485272138893,cross,unclassified,Chemin de Chez Magnin,663163188,45.94771310429869,5.2459001747442615
18,45.0,45.31517559438003,0.3151755943800296,307.10632709133665,cross,secondary,D 984,663163185,45.94891103233288,5.245731032332879
18,45.0,45.315835789452315,0.31583578945231494,307.65838185711056,cross,secondary,,663163191,45.94891590708215,5.245735907082153
19,47.5,46.46052560380558,-1.0394743961944215,894.1760965772415,cross,secondary,Route de Meximieux,1472140747,45.95887989072256,5.246292143519047
19,47.5,47.47287077282133,-0.02712922717866917,26.983305729929,cross,residential,Impasse des Granges,142882127,45.96560599847092,5.251999827522917
19,47.5,47.47827860932951,-0.021721390670492724,21.72098346338147,cross,secondary,Route d'Amberieu,10569636,45.965649900480436,5.252029931758014
19,47.5,47.48532787329824,-0.014672126701761101,14.672129058528014,cross,residential,Rue du Plomb,274895330,45.965712205442195,5.252046747619054
19,47.5,47.61383138578178,0.1138313857817792,113.43760258904649,cross,residential,Clos La Verchère,274895314,45.9668553490536,5.2522498918384555
19,47.5,47.64608276992545,0.14608276992544944,145.56669632482811,cross,residential,Rue du Puits,274895331,45.96714535483413,5.252256636158934
